Accession,GenBank_RefSeq,GenBank_Title,Length,Nuc_Completeness,Geo_Location,Country,Host,Collection_Date,Release_Date
PP521983.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/ZAF/NHLS-UCT-GS-G287/2021, complete genome",29763,complete,South Africa,South Africa,Homo sapiens,8/10/2021,3/22/2024
PP522078.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/ZAF/NHLS-UCT-GP-K831/2021, complete genome",29857,complete,South Africa,South Africa,Homo sapiens,6/22/2021,3/22/2024
PP522094.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/ZAF/NHLS-UCT-GS-0285/2020, complete genome",29814,complete,South Africa,South Africa,Homo sapiens,7/8/2020,3/22/2024
PP522123.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/ZAF/NHLS-UCT-GS-7763/2020, complete genome",29849,complete,South Africa,South Africa,Homo sapiens,12/8/2020,3/22/2024
PP522131.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/ZAF/NHLS-UCT-GS-B288/2021, complete genome",29759,complete,South Africa,South Africa,Homo sapiens,2/27/2021,3/22/2024
PP522151.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/ZAF/NHLS-UCT-GS-0144/2020, complete genome",29804,complete,South Africa,South Africa,Homo sapiens,6/29/2020,3/22/2024
PP522214.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/ZAF/NHLS-UCT-GS-3981/2020, complete genome",29814,complete,South Africa,South Africa,Homo sapiens,6/26/2020,3/22/2024
PP522241.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/ZAF/NHLS-UCT-GP-M686/2021, complete genome",29777,complete,South Africa,South Africa,Homo sapiens,9/7/2021,3/22/2024
PP522379.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/ZAF/NHLS-UCT-GS-4482/2020, complete genome",29859,complete,South Africa,South Africa,Homo sapiens,6/3/2020,3/22/2024
PP522386.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/ZAF/NHLS-UCT-GS-8735/2020, complete genome",29798,complete,South Africa,South Africa,Homo sapiens,12/24/2020,3/22/2024
PP522392.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/ZAF/NHLS-UCT-GS-AX62/2022, complete genome",29741,complete,South Africa,South Africa,Homo sapiens,1/20/2022,3/22/2024
PP522444.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/ZAF/NHLS-UCT-GS-A181/2021, complete genome",29805,complete,South Africa,South Africa,Homo sapiens,1/13/2021,3/22/2024
PP522466.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/ZAF/NHLS-UCT-GS-C792/2021, complete genome",29808,complete,South Africa,South Africa,Homo sapiens,6/24/2021,3/22/2024
OQ521186.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CMR/CAM079/2021, complete genome",29880,complete,Cameroon,Cameroon,Homo sapiens,2/4/2021,12/31/2023
OQ521241.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CMR/CERI-NPHL-K026220/2021, complete genome",29887,complete,Cameroon,Cameroon,Homo sapiens,8/27/2021,12/31/2023
OQ521305.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CMR/CERI-NPHL-K026298/2021, complete genome",29816,complete,Cameroon,Cameroon,Homo sapiens,6/1/2021,12/31/2023
OQ521489.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CMR/CERI-KRISP-K026554/2021, complete genome",29887,complete,Cameroon,Cameroon,Homo sapiens,8/25/2021,12/31/2023
OR939692.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/ZAF/B.1.617.2/2021, complete genome",29821,complete,South Africa,South Africa,Homo sapiens,9/21/2021,12/12/2023
OR099105.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/KEN/SS11590/2021, complete genome",29709,complete,Kenya,Kenya,Homo sapiens,12/16/2021,6/7/2023
OR099139.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/KEN/SS11541/2021, complete genome",29774,complete,Kenya,Kenya,Homo sapiens,12/16/2021,6/7/2023
OQ989756.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/DJI/DJI_NAMRU3_H432/2022, complete genome",29718,complete,Djibouti,Djibouti,Homo sapiens,10/14/2022,5/16/2023
OQ989772.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/DJI/DJI_NAMRU3_H664/2022, complete genome",29715,complete,Djibouti,Djibouti,Homo sapiens,11/6/2022,5/16/2023
OQ924252.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/DJI/DJI_NAMRU3_H391/2022, complete genome",29718,complete,Djibouti,Djibouti,Homo sapiens,10/4/2022,5/4/2023
OQ924260.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/DJI/DJI_NAMRU3_H408/2022, complete genome",29718,complete,Djibouti,Djibouti,Homo sapiens,10/9/2022,5/4/2023
OQ924263.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/DJI/DJI_NAMRU3_H411/2022, complete genome",29718,complete,Djibouti,Djibouti,Homo sapiens,10/11/2022,5/4/2023
OQ924270.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/DJI/DJI_NAMRU3_H479/2022, complete genome",29706,complete,Djibouti,Djibouti,Homo sapiens,11/3/2022,5/4/2023
OQ788227.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CoteD'Ivoire/MTMC_06_261/2022, complete genome",29684,complete,Cote d'Ivoire: Cote d'Ivoire,Cote d'Ivoire,Homo sapiens,3/16/2022,4/11/2023
OQ722344.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/MAR/Omicron BA.2/2022, complete genome",29816,complete,Morocco,Morocco,Homo sapiens,5/14/2022,3/31/2023
OQ691420.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/South_Africa/UW21062131909/2021, complete genome",29502,complete,South Africa,South Africa,Homo sapiens,6/21/2021,3/25/2023
OQ691507.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/South_Africa/UW21070508135/2021, complete genome",29503,complete,South Africa,South Africa,Homo sapiens,7/5/2021,3/25/2023
OQ691538.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/South_Africa/UW21061137472/2021, complete genome",29503,complete,South Africa,South Africa,Homo sapiens,6/11/2021,3/25/2023
OQ352667.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/KEN/SS11318/2021, complete genome",29789,complete,Kenya,Kenya,Homo sapiens,12/15/2021,1/31/2023
OQ352709.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/KEN/SS11365/2021, complete genome",29786,complete,Kenya,Kenya,Homo sapiens,12/16/2021,1/31/2023
OQ341918.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/ZAF/NHLS-UCT-GS-9808/2021, complete genome",29758,complete,South Africa: Northern Cape,South Africa,Homo sapiens,1/4/2021,1/27/2023
OQ130516.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/KEN/SS11259/2022, complete genome",29767,complete,Kenya,Kenya,Homo sapiens,11/27/2022,12/28/2022
OQ061304.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/KEN/SS11207/2022, complete genome",29763,complete,Kenya,Kenya,Homo sapiens,11/15/2022,12/16/2022
OQ061307.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/KEN/SS11212/2022, complete genome",29764,complete,Kenya,Kenya,Homo sapiens,11/15/2022,12/16/2022
OQ050406.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NGA/CV185/2020, complete genome",29870,complete,Nigeria,Nigeria,Homo sapiens,6/13/2020,12/15/2022
OQ050423.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NGA/CV240/2020, complete genome",29899,complete,Nigeria,Nigeria,Homo sapiens,5/31/2020,12/15/2022
OQ050428.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NGA/CV246/2020, complete genome",29902,complete,Nigeria,Nigeria,Homo sapiens,7/7/2020,12/15/2022
OQ050465.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NGA/CV287/2020, complete genome",29837,complete,Nigeria,Nigeria,Homo sapiens,6/27/2020,12/15/2022
OQ050483.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NGA/CV307/2020, complete genome",29881,complete,Nigeria,Nigeria,Homo sapiens,10/12/2020,12/15/2022
OQ050484.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NGA/CV308/2020, complete genome",29834,complete,Nigeria,Nigeria,Homo sapiens,6/12/2020,12/15/2022
OQ050546.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NGA/CV389/2020, complete genome",29819,complete,Nigeria,Nigeria,Homo sapiens,8/17/2020,12/15/2022
OQ050586.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NGA/CV539/2020, complete genome",29836,complete,Nigeria,Nigeria,Homo sapiens,11/30/2020,12/15/2022
OQ050647.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NGA/CV630/2020, complete genome",29879,complete,Nigeria,Nigeria,Homo sapiens,11/25/2020,12/15/2022
OQ050876.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NGA/CV1960/2021, complete genome",29850,complete,Nigeria,Nigeria,Homo sapiens,7/29/2021,12/15/2022
OQ050962.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NGA/CV2309/2021, complete genome",29820,complete,Nigeria,Nigeria,Homo sapiens,8/11/2021,12/15/2022
OQ050984.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NGA/CV2332/2021, complete genome",29842,complete,Nigeria,Nigeria,Homo sapiens,8/13/2021,12/15/2022
OQ050985.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NGA/CV2333/2021, complete genome",29833,complete,Nigeria,Nigeria,Homo sapiens,8/13/2021,12/15/2022
OQ050987.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NGA/CV2335/2021, complete genome",29776,complete,Nigeria,Nigeria,Homo sapiens,8/13/2021,12/15/2022
OQ051033.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NGA/CV2384/2021, complete genome",29846,complete,Nigeria,Nigeria,Homo sapiens,7/15/2021,12/15/2022
OQ051160.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NGA/CV2522/2021, complete genome",29839,complete,Nigeria,Nigeria,Homo sapiens,8/4/2021,12/15/2022
OQ051184.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NGA/CV2546/2021, complete genome",29776,complete,Nigeria,Nigeria,Homo sapiens,8/10/2021,12/15/2022
OQ051194.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NGA/CV2556/2021, complete genome",29844,complete,Nigeria,Nigeria,Homo sapiens,8/19/2021,12/15/2022
OQ051221.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NGA/CV2583/2021, complete genome",29842,complete,Nigeria,Nigeria,Homo sapiens,8/17/2021,12/15/2022
OQ051228.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NGA/CV2591/2021, complete genome",29834,complete,Nigeria,Nigeria,Homo sapiens,8/17/2021,12/15/2022
OQ051311.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NGA/CV2678/2021, complete genome",29809,complete,Nigeria,Nigeria,Homo sapiens,8/24/2021,12/15/2022
OQ051334.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NGA/CV2701/2021, complete genome",29841,complete,Nigeria,Nigeria,Homo sapiens,8/24/2021,12/15/2022
OQ051801.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NGA/CV3487/2021, complete genome",29816,complete,Nigeria,Nigeria,Homo sapiens,6/10/2021,12/15/2022
OQ051810.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NGA/CV3349/2021, complete genome",29803,complete,Nigeria,Nigeria,Homo sapiens,9/8/2021,12/15/2022
OQ051817.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NGA/CV3296/2021, complete genome",29816,complete,Nigeria,Nigeria,Homo sapiens,8/30/2021,12/15/2022
OQ051822.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NGA/CV3235/2021, complete genome",29816,complete,Nigeria,Nigeria,Homo sapiens,8/22/2021,12/15/2022
OQ051826.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NGA/CV3193/2021, complete genome",29816,complete,Nigeria,Nigeria,Homo sapiens,8/9/2021,12/15/2022
OQ051849.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NGA/CV3299/2021, complete genome",29816,complete,Nigeria,Nigeria,Homo sapiens,8/31/2021,12/15/2022
OQ051857.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NGA/CV3260/2021, complete genome",29816,complete,Nigeria,Nigeria,Homo sapiens,8/25/2021,12/15/2022
OQ051869.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NGA/CV3274/2021, complete genome",29816,complete,Nigeria,Nigeria,Homo sapiens,8/27/2021,12/15/2022
OQ051892.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NGA/CV3270/2021, complete genome",29803,complete,Nigeria,Nigeria,Homo sapiens,8/25/2021,12/15/2022
OQ051898.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NGA/CV3304/2021, complete genome",29809,complete,Nigeria,Nigeria,Homo sapiens,8/30/2021,12/15/2022
OQ051899.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NGA/CV3444/2021, complete genome",29803,complete,Nigeria,Nigeria,Homo sapiens,9/24/2021,12/15/2022
OQ051913.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NGA/CV3317/2021, complete genome",29804,complete,Nigeria,Nigeria,Homo sapiens,9/1/2021,12/15/2022
OQ051918.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NGA/CV3466/2021, complete genome",29806,complete,Nigeria,Nigeria,Homo sapiens,9/27/2021,12/15/2022
OQ051949.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NGA/CV3446/2021, complete genome",29810,complete,Nigeria,Nigeria,Homo sapiens,9/6/2021,12/15/2022
OQ051960.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NGA/CV3489/2021, complete genome",29816,complete,Nigeria,Nigeria,Homo sapiens,10/1/2021,12/15/2022
OQ051972.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NGA/CV3431/2021, complete genome",29804,complete,Nigeria,Nigeria,Homo sapiens,9/24/2021,12/15/2022
OQ052042.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NGA/CV3474/2021, complete genome",29816,complete,Nigeria,Nigeria,Homo sapiens,10/10/2021,12/15/2022
OQ052088.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NGA/CV3241/2021, complete genome",29804,complete,Nigeria,Nigeria,Homo sapiens,8/23/2021,12/15/2022
OQ052093.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NGA/CV3355/2021, complete genome",29816,complete,Nigeria,Nigeria,Homo sapiens,9/8/2021,12/15/2022
OQ052109.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NGA/CV3149/2021, complete genome",29816,complete,Nigeria,Nigeria,Homo sapiens,9/10/2021,12/15/2022
OQ052537.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NGA/CV4872/2021, complete genome",29799,complete,Nigeria,Nigeria,Homo sapiens,12/17/2021,12/15/2022
OQ052555.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NGA/CV4829/2021, complete genome",29797,complete,Nigeria,Nigeria,Homo sapiens,12/12/2021,12/15/2022
OQ052581.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NGA/CV4994/2021, complete genome",29791,complete,Nigeria,Nigeria,Homo sapiens,12/22/2021,12/15/2022
OQ052586.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NGA/CV4873/2021, complete genome",29803,complete,Nigeria,Nigeria,Homo sapiens,12/18/2021,12/15/2022
OQ052597.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NGA/CV4877/2021, complete genome",29797,complete,Nigeria,Nigeria,Homo sapiens,12/16/2021,12/15/2022
OQ052613.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NGA/CV4719/2021, complete genome",29808,complete,Nigeria,Nigeria,Homo sapiens,7/10/2021,12/15/2022
OQ052617.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NGA/CV4757/2021, complete genome",29805,complete,Nigeria,Nigeria,Homo sapiens,2021-07,12/15/2022
OQ052636.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NGA/CV4874/2021, complete genome",29790,complete,Nigeria,Nigeria,Homo sapiens,12/19/2021,12/15/2022
OQ052695.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NGA/CV4905/2021, complete genome",29797,complete,Nigeria,Nigeria,Homo sapiens,12/16/2021,12/15/2022
OQ052773.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NGA/CV4729/2021, complete genome",29813,complete,Nigeria,Nigeria,Homo sapiens,10/20/2021,12/15/2022
OQ052778.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NGA/CV4842/2021, complete genome",29785,complete,Nigeria,Nigeria,Homo sapiens,12/13/2021,12/15/2022
OQ052795.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NGA/CV4978/2021, complete genome",29789,complete,Nigeria,Nigeria,Homo sapiens,12/22/2021,12/15/2022
OQ052811.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NGA/CV4893/2021, complete genome",29791,complete,Nigeria,Nigeria,Homo sapiens,12/16/2021,12/15/2022
OQ052837.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NGA/CV4840/2021, complete genome",29787,complete,Nigeria,Nigeria,Homo sapiens,12/13/2021,12/15/2022
OQ052843.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NGA/CV6184/2021, complete genome",29752,complete,Nigeria,Nigeria,Homo sapiens,12/22/2021,12/15/2022
OQ052925.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NGA/CV6239/2021, complete genome",29752,complete,Nigeria,Nigeria,Homo sapiens,12/13/2021,12/15/2022
OP963531.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/KEN/C120388/2022, complete genome",29735,complete,Kenya,Kenya,Homo sapiens,11/21/2022,12/7/2022
OP963539.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/KEN/SS11163/2022, complete genome",29770,complete,Kenya,Kenya,Homo sapiens,11/22/2022,12/7/2022
OP883733.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/KEN/SS10664/2021, complete genome",29791,complete,Kenya,Kenya,Homo sapiens,12/18/2021,11/23/2022
OP809750.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/DJI/NAMRU3_H067/2022, complete genome",29718,complete,Djibouti,Djibouti,Homo sapiens,7/28/2022,11/11/2022
OP809753.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/DJI/NAMRU3_H071/2022, complete genome",29709,complete,Djibouti,Djibouti,Homo sapiens,7/29/2022,11/11/2022
OP711902.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/KEN/KEM-21-07-103291/2021, complete genome",29698,complete,Kenya,Kenya,Homo sapiens,7/28/2021,10/24/2022
OP711916.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/KEN/KEM-21-08-104568/2021, complete genome",29701,complete,Kenya,Kenya,Homo sapiens,8/31/2021,10/24/2022
OP581591.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/GMB/305/2021, complete genome",29782,complete,Gambia,Gambia,Homo sapiens,2/8/2021,10/4/2022
OP581600.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/GMB/12660/2021, complete genome",29782,complete,Gambia,Gambia,Homo sapiens,2/14/2021,10/4/2022
OP581616.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/GMB/12852/2021, complete genome",29782,complete,Gambia,Gambia,Homo sapiens,2/15/2021,10/4/2022
OP581702.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/GMB/252/2021, complete genome",29782,complete,Gambia,Gambia,Homo sapiens,7/27/2021,10/4/2022
OP508792.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/DJI/NAMRU3_B008/2022, complete genome",29709,complete,Djibouti,Djibouti,Homo sapiens,6/13/2022,9/23/2022
OP508796.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/DJI/NAMRU3_E861/2022, complete genome",29724,complete,Djibouti,Djibouti,Homo sapiens,5/14/2022,9/23/2022
OP508873.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/DJI/NAMRU3_F796/2022, complete genome",29724,complete,Djibouti,Djibouti,Homo sapiens,6/26/2022,9/23/2022
OP508875.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/DJI/NAMRU3_F885/2022, complete genome",29709,complete,Djibouti,Djibouti,Homo sapiens,7/4/2022,9/23/2022
OP508896.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/DJI/NAMRU3_H026/2022, complete genome",29709,complete,Djibouti,Djibouti,Homo sapiens,6/23/2022,9/23/2022
OP508905.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/DJI/NAMRU3_H917/2022, complete genome",29724,complete,Djibouti,Djibouti,Homo sapiens,6/27/2022,9/23/2022
OP183423.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/EGY/OMICRON-8/2022, complete genome",29876,complete,Egypt,Egypt,Homo sapiens,5/31/2022,8/9/2022
OP183424.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/EGY/OMICRON-9/2022, complete genome",29876,complete,Egypt,Egypt,Homo sapiens,5/31/2022,8/9/2022
OP183449.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/EGY/OMICRON-35/2022, complete genome",29876,complete,Egypt,Egypt,Homo sapiens,6/9/2022,8/9/2022
OP053449.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/ZAF/NHLS-UCT-GS-C698/2021, complete genome",29763,complete,South Africa: Western Cape,South Africa,Homo sapiens,6/21/2021,7/25/2022
ON979409.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/UGA/MUWRP-KIR210555S/2021, complete genome",29769,complete,Uganda,Uganda,Homo sapiens,10/19/2021,7/13/2022
ON979416.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/UGA/MUWRP-JIN210176S/2021, complete genome",29769,complete,Uganda,Uganda,Homo sapiens,6/16/2021,7/13/2022
ON979418.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/UGA/MUWRP-KIR210154S/2021, complete genome",29769,complete,Uganda,Uganda,Homo sapiens,6/11/2021,7/13/2022
ON951982.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/DJI/NAMRU3_C585/2022, complete genome",29724,complete,Djibouti,Djibouti,Homo sapiens,2/15/2022,7/8/2022
ON951987.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/DJI/NAMRU3_E089/2022, complete genome",29724,complete,Djibouti,Djibouti,Homo sapiens,4/14/2022,7/8/2022
ON871922.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/KEN/SS9130/2021, complete genome",29747,complete,Kenya,Kenya,Homo sapiens,12/18/2021,6/29/2022
ON703289.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/UGA/MUWRP-KIR210141S/2021, complete genome",29769,complete,Uganda,Uganda,Homo sapiens,6/4/2021,6/7/2022
ON647480.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/SouthAfrica/NHLS-UCT-GS-C906/2021, complete genome",29763,complete,South Africa: Western Cape,South Africa,Homo sapiens,6/22/2021,6/1/2022
ON647598.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/SouthAfrica/NHLS-UCT-GS-C244/2021, complete genome",29763,complete,South Africa: Western Cape,South Africa,Homo sapiens,6/7/2021,6/1/2022
ON602793.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/KEN/SS7304/2021, complete genome",29747,complete,Kenya,Kenya,Homo sapiens,12/25/2021,5/25/2022
ON322684.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/SouthAfrica/NHLS-UCT-GS-C347/2021, complete genome",29763,complete,South Africa,South Africa,Homo sapiens,6/10/2021,4/22/2022
